Jaar week,AgeGroup,Hospitalisations
8 jun. 2020 t/m 14 jun. 2020 (Week 24),80–++,0.419
8 jun. 2020 t/m 14 jun. 2020 (Week 24),40–59,0.149
15 jun. 2020 t/m 21 jun. 2020 (Week 25),00–05,0.037
15 jun. 2020 t/m 21 jun. 2020 (Week 25),80–++,0.33
15 jun. 2020 t/m 21 jun. 2020 (Week 25),60–79,0.349
15 jun. 2020 t/m 21 jun. 2020 (Week 25),40–59,0.165
15 jun. 2020 t/m 21 jun. 2020 (Week 25),20–39,0.11
15 jun. 2020 t/m 21 jun. 2020 (Week 25),06–19,0.009
22 jun. 2020 t/m 28 jun. 2020 (Week 26),00–05,0
22 jun. 2020 t/m 28 jun. 2020 (Week 26),06–19,0.025
22 jun. 2020 t/m 28 jun. 2020 (Week 26),80–++,0.309
22 jun. 2020 t/m 28 jun. 2020 (Week 26),60–79,0.395
22 jun. 2020 t/m 28 jun. 2020 (Week 26),40–59,0.136
22 jun. 2020 t/m 28 jun. 2020 (Week 26),20–39,0.136
29 jun. 2020 t/m 5 jul. 2020 (Week 27),20–39,0.111
29 jun. 2020 t/m 5 jul. 2020 (Week 27),80–++,0.222
29 jun. 2020 t/m 5 jul. 2020 (Week 27),40–59,0.222
29 jun. 2020 t/m 5 jul. 2020 (Week 27),06–19,0.037
29 jun. 2020 t/m 5 jul. 2020 (Week 27),00–05,0.056
29 jun. 2020 t/m 5 jul. 2020 (Week 27),60–79,0.352
6 jul. 2020 t/m 12 jul. 2020 (Week 28),06–19,0.053
6 jul. 2020 t/m 12 jul. 2020 (Week 28),00–05,0
6 jul. 2020 t/m 12 jul. 2020 (Week 28),40–59,0.123
6 jul. 2020 t/m 12 jul. 2020 (Week 28),80–++,0.333
6 jul. 2020 t/m 12 jul. 2020 (Week 28),60–79,0.386
6 jul. 2020 t/m 12 jul. 2020 (Week 28),20–39,0.105
13 jul. 2020 t/m 19 jul. 2020 (Week 29),00–05,0.059
13 jul. 2020 t/m 19 jul. 2020 (Week 29),80–++,0.255
13 jul. 2020 t/m 19 jul. 2020 (Week 29),06–19,0.02
13 jul. 2020 t/m 19 jul. 2020 (Week 29),20–39,0.098
